// Validating benchmarks:
No exporters defined, results will not be persisted.
OverheadWarmup   1: 16777216 op, 65341239.00 ns, 3.8946 ns/op
OverheadWarmup   2: 16777216 op, 65093706.00 ns, 3.8799 ns/op
OverheadWarmup   3: 16777216 op, 64966363.00 ns, 3.8723 ns/op
OverheadWarmup   4: 16777216 op, 66078472.00 ns, 3.9386 ns/op
OverheadWarmup   5: 16777216 op, 66355572.00 ns, 3.9551 ns/op
OverheadWarmup   6: 16777216 op, 65981360.00 ns, 3.9328 ns/op
OverheadWarmup   7: 16777216 op, 66119205.00 ns, 3.9410 ns/op
OverheadWarmup   8: 16777216 op, 65500936.00 ns, 3.9042 ns/op

OverheadActual   1: 16777216 op, 65727594.00 ns, 3.9177 ns/op
OverheadActual   2: 16777216 op, 65052374.00 ns, 3.8774 ns/op
OverheadActual   3: 16777216 op, 65100206.00 ns, 3.8803 ns/op
OverheadActual   4: 16777216 op, 65303445.00 ns, 3.8924 ns/op
OverheadActual   5: 16777216 op, 65187447.00 ns, 3.8855 ns/op
OverheadActual   6: 16777216 op, 65462427.00 ns, 3.9019 ns/op
OverheadActual   7: 16777216 op, 63676089.00 ns, 3.7954 ns/op
OverheadActual   8: 16777216 op, 63408933.00 ns, 3.7795 ns/op
OverheadActual   9: 16777216 op, 63387209.00 ns, 3.7782 ns/op
OverheadActual  10: 16777216 op, 63956822.00 ns, 3.8121 ns/op
OverheadActual  11: 16777216 op, 64688067.00 ns, 3.8557 ns/op
OverheadActual  12: 16777216 op, 64487933.00 ns, 3.8438 ns/op
OverheadActual  13: 16777216 op, 64539862.00 ns, 3.8469 ns/op
OverheadActual  14: 16777216 op, 66291300.00 ns, 3.9513 ns/op
OverheadActual  15: 16777216 op, 67176021.00 ns, 4.0040 ns/op

WorkloadWarmup   1: 16777216 op, 571149426.00 ns, 34.0432 ns/op
WorkloadWarmup   2: 16777216 op, 559412602.00 ns, 33.3436 ns/op
WorkloadWarmup   3: 16777216 op, 568295537.00 ns, 33.8731 ns/op
WorkloadWarmup   4: 16777216 op, 580441068.00 ns, 34.5970 ns/op
WorkloadWarmup   5: 16777216 op, 564969961.00 ns, 33.6748 ns/op
WorkloadWarmup   6: 16777216 op, 696352331.00 ns, 41.5058 ns/op
WorkloadWarmup   7: 16777216 op, 714356891.00 ns, 42.5790 ns/op
WorkloadWarmup   8: 16777216 op, 699980589.00 ns, 41.7221 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 734220883.00 ns, 43.7630 ns/op
WorkloadActual   2: 16777216 op, 674878471.00 ns, 40.2259 ns/op
WorkloadActual   3: 16777216 op, 647383001.00 ns, 38.5870 ns/op
WorkloadActual   4: 16777216 op, 604513760.00 ns, 36.0318 ns/op
WorkloadActual   5: 16777216 op, 579460730.00 ns, 34.5386 ns/op
WorkloadActual   6: 16777216 op, 562302251.00 ns, 33.5158 ns/op
WorkloadActual   7: 16777216 op, 640014268.00 ns, 38.1478 ns/op
WorkloadActual   8: 16777216 op, 575915031.00 ns, 34.3272 ns/op
WorkloadActual   9: 16777216 op, 562057728.00 ns, 33.5013 ns/op
WorkloadActual  10: 16777216 op, 555865880.00 ns, 33.1322 ns/op
WorkloadActual  11: 16777216 op, 555597162.00 ns, 33.1162 ns/op
WorkloadActual  12: 16777216 op, 559085221.00 ns, 33.3241 ns/op
WorkloadActual  13: 16777216 op, 569718676.00 ns, 33.9579 ns/op
WorkloadActual  14: 16777216 op, 587359634.00 ns, 35.0094 ns/op
WorkloadActual  15: 16777216 op, 568791103.00 ns, 33.9026 ns/op
WorkloadActual  16: 16777216 op, 588896223.00 ns, 35.1010 ns/op
WorkloadActual  17: 16777216 op, 563607952.00 ns, 33.5937 ns/op
WorkloadActual  18: 16777216 op, 556570481.00 ns, 33.1742 ns/op
WorkloadActual  19: 16777216 op, 562695115.00 ns, 33.5392 ns/op
WorkloadActual  20: 16777216 op, 552246809.00 ns, 32.9165 ns/op
WorkloadActual  21: 16777216 op, 558753659.00 ns, 33.3043 ns/op
WorkloadActual  22: 16777216 op, 591778557.00 ns, 35.2728 ns/op
WorkloadActual  23: 16777216 op, 588379277.00 ns, 35.0701 ns/op
WorkloadActual  24: 16777216 op, 591629691.00 ns, 35.2639 ns/op
WorkloadActual  25: 16777216 op, 597769494.00 ns, 35.6298 ns/op
WorkloadActual  26: 16777216 op, 584311033.00 ns, 34.8277 ns/op
WorkloadActual  27: 16777216 op, 596299768.00 ns, 35.5422 ns/op
WorkloadActual  28: 16777216 op, 616711107.00 ns, 36.7588 ns/op
WorkloadActual  29: 16777216 op, 600142803.00 ns, 35.7713 ns/op
WorkloadActual  30: 16777216 op, 594585372.00 ns, 35.4400 ns/op
WorkloadActual  31: 16777216 op, 594093743.00 ns, 35.4107 ns/op
WorkloadActual  32: 16777216 op, 602161251.00 ns, 35.8916 ns/op
WorkloadActual  33: 16777216 op, 589295186.00 ns, 35.1247 ns/op
WorkloadActual  34: 16777216 op, 613988176.00 ns, 36.5965 ns/op
WorkloadActual  35: 16777216 op, 595613409.00 ns, 35.5013 ns/op
WorkloadActual  36: 16777216 op, 585019950.00 ns, 34.8699 ns/op
WorkloadActual  37: 16777216 op, 565878137.00 ns, 33.7290 ns/op
WorkloadActual  38: 16777216 op, 576535628.00 ns, 34.3642 ns/op
WorkloadActual  39: 16777216 op, 690325339.00 ns, 41.1466 ns/op
WorkloadActual  40: 16777216 op, 631602130.00 ns, 37.6464 ns/op
WorkloadActual  41: 16777216 op, 598550467.00 ns, 35.6764 ns/op
WorkloadActual  42: 16777216 op, 577375274.00 ns, 34.4142 ns/op
WorkloadActual  43: 16777216 op, 565206833.00 ns, 33.6890 ns/op
WorkloadActual  44: 16777216 op, 557342690.00 ns, 33.2202 ns/op
WorkloadActual  45: 16777216 op, 565022924.00 ns, 33.6780 ns/op
WorkloadActual  46: 16777216 op, 561033441.00 ns, 33.4402 ns/op
WorkloadActual  47: 16777216 op, 576620380.00 ns, 34.3693 ns/op
WorkloadActual  48: 16777216 op, 587112191.00 ns, 34.9946 ns/op
WorkloadActual  49: 16777216 op, 582972241.00 ns, 34.7479 ns/op
WorkloadActual  50: 16777216 op, 570674870.00 ns, 34.0149 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 539461386.00 ns, 32.1544 ns/op
WorkloadResult   2: 16777216 op, 514408356.00 ns, 30.6611 ns/op
WorkloadResult   3: 16777216 op, 497249877.00 ns, 29.6384 ns/op
WorkloadResult   4: 16777216 op, 574961894.00 ns, 34.2704 ns/op
WorkloadResult   5: 16777216 op, 510862657.00 ns, 30.4498 ns/op
WorkloadResult   6: 16777216 op, 497005354.00 ns, 29.6238 ns/op
WorkloadResult   7: 16777216 op, 490813506.00 ns, 29.2548 ns/op
WorkloadResult   8: 16777216 op, 490544788.00 ns, 29.2387 ns/op
WorkloadResult   9: 16777216 op, 494032847.00 ns, 29.4467 ns/op
WorkloadResult  10: 16777216 op, 504666302.00 ns, 30.0805 ns/op
WorkloadResult  11: 16777216 op, 522307260.00 ns, 31.1319 ns/op
WorkloadResult  12: 16777216 op, 503738729.00 ns, 30.0252 ns/op
WorkloadResult  13: 16777216 op, 523843849.00 ns, 31.2235 ns/op
WorkloadResult  14: 16777216 op, 498555578.00 ns, 29.7162 ns/op
WorkloadResult  15: 16777216 op, 491518107.00 ns, 29.2968 ns/op
WorkloadResult  16: 16777216 op, 497642741.00 ns, 29.6618 ns/op
WorkloadResult  17: 16777216 op, 487194435.00 ns, 29.0391 ns/op
WorkloadResult  18: 16777216 op, 493701285.00 ns, 29.4269 ns/op
WorkloadResult  19: 16777216 op, 526726183.00 ns, 31.3953 ns/op
WorkloadResult  20: 16777216 op, 523326903.00 ns, 31.1927 ns/op
WorkloadResult  21: 16777216 op, 526577317.00 ns, 31.3865 ns/op
WorkloadResult  22: 16777216 op, 532717120.00 ns, 31.7524 ns/op
WorkloadResult  23: 16777216 op, 519258659.00 ns, 30.9502 ns/op
WorkloadResult  24: 16777216 op, 531247394.00 ns, 31.6648 ns/op
WorkloadResult  25: 16777216 op, 551658733.00 ns, 32.8814 ns/op
WorkloadResult  26: 16777216 op, 535090429.00 ns, 31.8939 ns/op
WorkloadResult  27: 16777216 op, 529532998.00 ns, 31.5626 ns/op
WorkloadResult  28: 16777216 op, 529041369.00 ns, 31.5333 ns/op
WorkloadResult  29: 16777216 op, 537108877.00 ns, 32.0142 ns/op
WorkloadResult  30: 16777216 op, 524242812.00 ns, 31.2473 ns/op
WorkloadResult  31: 16777216 op, 548935802.00 ns, 32.7191 ns/op
WorkloadResult  32: 16777216 op, 530561035.00 ns, 31.6239 ns/op
WorkloadResult  33: 16777216 op, 519967576.00 ns, 30.9925 ns/op
WorkloadResult  34: 16777216 op, 500825763.00 ns, 29.8515 ns/op
WorkloadResult  35: 16777216 op, 511483254.00 ns, 30.4868 ns/op
WorkloadResult  36: 16777216 op, 566549756.00 ns, 33.7690 ns/op
WorkloadResult  37: 16777216 op, 533498093.00 ns, 31.7990 ns/op
WorkloadResult  38: 16777216 op, 512322900.00 ns, 30.5368 ns/op
WorkloadResult  39: 16777216 op, 500154459.00 ns, 29.8115 ns/op
WorkloadResult  40: 16777216 op, 492290316.00 ns, 29.3428 ns/op
WorkloadResult  41: 16777216 op, 499970550.00 ns, 29.8006 ns/op
WorkloadResult  42: 16777216 op, 495981067.00 ns, 29.5628 ns/op
WorkloadResult  43: 16777216 op, 511568006.00 ns, 30.4918 ns/op
WorkloadResult  44: 16777216 op, 522059817.00 ns, 31.1172 ns/op
WorkloadResult  45: 16777216 op, 517919867.00 ns, 30.8704 ns/op
WorkloadResult  46: 16777216 op, 505622496.00 ns, 30.1374 ns/op
GC:  85 0 0 536870912 16777216
Threading:  2 0 16777216

// AfterAll
// Benchmark Process 16853 has exited with code 0

Mean = 30.798 ns, StdErr = 0.180 ns (0.58%), N = 46, StdDev = 1.220 ns
Min = 29.039 ns, Q1 = 29.737 ns, Median = 30.766 ns, Q3 = 31.555 ns, Max = 34.270 ns
IQR = 1.818 ns, LowerFence = 27.010 ns, UpperFence = 34.282 ns
ConfidenceInterval = [30.165 ns; 31.431 ns] (CI 99.9%), Margin = 0.633 ns (2.06% of Mean)
Skewness = 0.7, Kurtosis = 3.11, MValue = 3.13

// ***** BenchmarkRunner: Finish  *****

// * Export *

// * Detailed results *
MemoryDiagnoser.ToString12345: Job-YVMFWB(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 28.655 ns, StdErr = 0.156 ns (0.54%), N = 17, StdDev = 0.642 ns
Min = 27.794 ns, Q1 = 28.109 ns, Median = 28.529 ns, Q3 = 29.108 ns, Max = 29.937 ns
IQR = 0.999 ns, LowerFence = 26.610 ns, UpperFence = 30.607 ns
ConfidenceInterval = [28.030 ns; 29.280 ns] (CI 99.9%), Margin = 0.625 ns (2.18% of Mean)
Skewness = 0.34, Kurtosis = 1.7, MValue = 2
-------------------- Histogram --------------------
[27.701 ns ; 28.356 ns) | @@@@@@@@
[28.356 ns ; 29.537 ns) | @@@@@@@@
[29.537 ns ; 30.264 ns) | @
---------------------------------------------------

MemoryDiagnoser.ToString12345Long: Job-YVMFWB(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 30.549 ns, StdErr = 0.182 ns (0.60%), N = 24, StdDev = 0.893 ns
Min = 29.492 ns, Q1 = 29.687 ns, Median = 30.594 ns, Q3 = 31.170 ns, Max = 32.685 ns
IQR = 1.484 ns, LowerFence = 27.461 ns, UpperFence = 33.396 ns
ConfidenceInterval = [29.862 ns; 31.235 ns] (CI 99.9%), Margin = 0.687 ns (2.25% of Mean)
Skewness = 0.56, Kurtosis = 2.36, MValue = 2
-------------------- Histogram --------------------
[29.371 ns ; 30.482 ns) | @@@@@@@@@@
[30.482 ns ; 31.295 ns) | @@@@@@@@@
[31.295 ns ; 32.162 ns) | @@@@
[32.162 ns ; 33.091 ns) | @
---------------------------------------------------

MemoryDiagnoser.ToString12345: .NET Core 3.1(Runtime=.NET Core 3.1)
Runtime = .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT; GC = Concurrent Workstation
Mean = 26.969 ns, StdErr = 0.145 ns (0.54%), N = 15, StdDev = 0.562 ns
Min = 26.108 ns, Q1 = 26.573 ns, Median = 27.166 ns, Q3 = 27.455 ns, Max = 27.757 ns
IQR = 0.881 ns, LowerFence = 25.251 ns, UpperFence = 28.777 ns
ConfidenceInterval = [26.369 ns; 27.570 ns] (CI 99.9%), Margin = 0.601 ns (2.23% of Mean)
Skewness = -0.32, Kurtosis = 1.54, MValue = 2
-------------------- Histogram --------------------
[26.097 ns ; 26.695 ns) | @@@@@@
[26.695 ns ; 28.056 ns) | @@@@@@@@@
---------------------------------------------------

MemoryDiagnoser.ToString12345Long: .NET Core 3.1(Runtime=.NET Core 3.1)
Runtime = .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT; GC = Concurrent Workstation
Mean = 30.798 ns, StdErr = 0.180 ns (0.58%), N = 46, StdDev = 1.220 ns
Min = 29.039 ns, Q1 = 29.737 ns, Median = 30.766 ns, Q3 = 31.555 ns, Max = 34.270 ns
IQR = 1.818 ns, LowerFence = 27.010 ns, UpperFence = 34.282 ns
ConfidenceInterval = [30.165 ns; 31.431 ns] (CI 99.9%), Margin = 0.633 ns (2.06% of Mean)
Skewness = 0.7, Kurtosis = 3.11, MValue = 3.13
-------------------- Histogram --------------------
[28.592 ns ; 29.213 ns) | @
[29.213 ns ; 30.106 ns) | @@@@@@@@@@@@@@@@
[30.106 ns ; 30.928 ns) | @@@@@@@
[30.928 ns ; 31.821 ns) | @@@@@@@@@@@@@@@
[31.821 ns ; 32.753 ns) | @@@@
[32.753 ns ; 33.573 ns) | @
[33.573 ns ; 34.466 ns) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=macOS Catalina 10.15.6 (19G2021) [Darwin 19.6.0]
Intel Core i9-8950HK CPU 2.90GHz (Coffee Lake), 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.1.402
  [Host]        : .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
  .NET Core 3.1 : .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT

Runtime=.NET Core 3.1  

|            Method |           Job |              Toolchain |     Mean |    Error |   StdDev | Ratio | RatioSD | Completed Work Items | Lock Contentions |  Gen 0 |  Gen 1 | Gen 2 | Allocated |
|------------------ |-------------- |----------------------- |---------:|---------:|---------:|------:|--------:|---------------------:|-----------------:|-------:|-------:|------:|----------:|
|     ToString12345 |    Job-YVMFWB | InProcessEmitToolchain | 28.66 ns | 0.625 ns | 0.642 ns |  1.00 |    0.00 |               0.0000 |                - | 0.0051 |      - |     - |      32 B |
| ToString12345Long |    Job-YVMFWB | InProcessEmitToolchain | 30.55 ns | 0.687 ns | 0.893 ns |  1.06 |    0.03 |                    - |                - | 0.0051 | 0.0001 |     - |      32 B |
|                   |               |                        |          |          |          |       |         |                      |                  |        |        |       |           |
|     ToString12345 | .NET Core 3.1 |                Default | 26.97 ns | 0.601 ns | 0.562 ns |  1.00 |    0.00 |               0.0000 |                - | 0.0051 |      - |     - |      32 B |
| ToString12345Long | .NET Core 3.1 |                Default | 30.80 ns | 0.633 ns | 1.220 ns |  1.13 |    0.06 |               0.0000 |                - | 0.0051 |      - |     - |      32 B |

// * Legends *
  Mean                 : Arithmetic mean of all measurements
  Error                : Half of 99.9% confidence interval
  StdDev               : Standard deviation of all measurements
  Ratio                : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD              : Standard deviation of the ratio distribution ([Current]/[Baseline])
  Completed Work Items : The number of work items that have been processed in ThreadPool (per single operation)
  Lock Contentions     : The number of times there was contention upon trying to take a Monitor's lock (per single operation)
  Gen 0                : GC Generation 0 collects per 1000 operations
  Gen 1                : GC Generation 1 collects per 1000 operations
  Gen 2                : GC Generation 2 collects per 1000 operations
  Allocated            : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns                 : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - ThreadingDiagnoser *

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:36 (96.48 sec), executed benchmarks: 4

Global total time: 00:01:39 (99.91 sec), executed benchmarks: 4
// * Artifacts cleanup *
